Round,Optimizer,Epochs,Lr_rate,Hidden_Nodes,Test_Accuracy,Mean_Byte_Error
1,Adam,50,0.0029,50,75.58,0.2125
2,Adam,20,0.0029,45,75.49,0.2104
3,Adam,20,0.0023,45,75.19,0.2168
4,Adam,40,0.0024,50,74.64,0.2352
5,RMSprop,50,0.0018,45,74.43,0.229
6,Adam,40,0.0018,55,74.24,0.2452
7,RMSprop,40,0.0024,45,73.95,0.2446
8,Adam,40,0.0018,55,73.65,0.2506
9,RMSprop,15,0.0029,50,73.41,0.254
10,RMSprop,30,0.0024,50,73.31,0.2708
11,RMSprop,15,0.0029,50,72.97,0.2704
12,RMSprop,15,0.0029,45,72.87,0.2697
13,RMSprop,50,0.0024,40,72.51,0.2856
14,Adam,20,0.0021,40,72.48,0.2833
15,RMSprop,15,0.0024,55,71.91,0.2893
16,RMSprop,40,0.0029,45,71.92,0.305
17,RMSprop,40,0.0029,55,71.72,0.3076
18,RMSprop,40,0.0029,40,71.4,0.3094
19,RMSprop,15,0.0018,40,70.96,0.3163
20,Adam,30,0.0022,45,70.96,0.3299
21,Adam,40,0.0018,45,70.61,0.3381
22,Adam,20,0.0024,40,70.39,0.3413
23,RMSprop,50,0.0021,55,70.14,0.3432
24,RMSprop,30,0.0024,50,69.65,0.3533
25,RMSprop,40,0.0018,55,69.49,0.3712
26,RMSprop,30,0.0024,55,69.53,0.3768
27,RMSprop,30,0.0024,50,69.17,0.3833
28,Adam,40,0.0024,50,68.65,0.3861
29,Adam,15,0.0018,55,68.48,0.3834
30,Adam,50,0.0021,45,68.48,0.3973
31,RMSprop,15,0.0021,45,68.04,0.3905
